Frequency (Hz)	Level (dB)
19828.125000	-145.806259
19875.000000	-146.229233
19921.875000	-146.878281
19968.750000	-146.646667
20015.625000	-148.635986
20062.500000	-148.932495
20109.375000	-147.315445
20156.250000	-147.738113
20203.125000	-147.556381
20250.000000	-148.048615
20296.875000	-148.585205
20343.750000	-148.559723
20390.625000	-147.640625
20437.500000	-144.407990
20484.375000	-144.049057
20531.250000	-145.916962
20578.125000	-146.716873
20625.000000	-145.991913
20671.875000	-144.486191
20718.750000	-143.526337
20765.625000	-146.306335
20812.500000	-148.659256
20859.375000	-141.375504
20906.250000	-132.290298
20953.125000	-129.435745
21000.000000	-132.812408
21046.875000	-133.492310
21093.750000	-138.776291
21140.625000	-145.225067
21187.500000	-147.290848
21234.375000	-148.112198
21281.250000	-149.306107
21328.125000	-149.070801
21375.000000	-146.056137
21421.875000	-144.700943
21468.750000	-144.064835
21515.625000	-146.132599
21562.500000	-148.027969
21609.375000	-147.910034
21656.250000	-148.209702
21703.125000	-147.709778
21750.000000	-147.246262
21796.875000	-147.817642
21843.750000	-147.086578
21890.625000	-147.604431
21937.500000	-147.865341
21984.375000	-147.766663
22031.250000	-148.740189
22078.125000	-148.711945
22125.000000	-145.978546
22171.875000	-147.091690
22218.750000	-148.014893
22265.625000	-148.037598
22312.500000	-142.648880
22359.375000	-136.365341
22406.250000	-133.139542
22453.125000	-130.097900
22500.000000	-135.412262
22546.875000	-138.557983
22593.750000	-135.588928
22640.625000	-139.040039
22687.500000	-145.291382
22734.375000	-146.328201
22781.250000	-146.482330
22828.125000	-147.285187
22875.000000	-144.855652
22921.875000	-146.966522
22968.750000	-149.208145
23015.625000	-149.242950
23062.500000	-147.668503
23109.375000	-145.906052
23156.250000	-145.993423
23203.125000	-147.386841
23250.000000	-147.623901
23296.875000	-148.299210
23343.750000	-148.539490
23390.625000	-147.918381
23437.500000	-147.825012
23484.375000	-146.648987
23531.250000	-146.417114
23578.125000	-146.885132
23625.000000	-144.543686
23671.875000	-146.790131
23718.750000	-149.436722
23765.625000	-149.555527
23812.500000	-149.207199
23859.375000	-138.156845
23906.250000	-129.480469
23953.125000	-128.125626
